# Dependencies for a3-modular-kalah-zhua687
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun May 16 20:50:33 NZST 2021
# Tool	mete-analysis(dependencies):20170202T1945
# System	a3-modular-kalah-zhua687
# Codebase	./submissions/a3-modular-kalah-zhua687/a3-modular-kalah-zhua687

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.PlayerProp	kalah	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	kalah.IPlayerProp	kalah	Interface	Implements	Header			To whole module	Public	None
kalah.PlayerProp	kalah	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.PlayerProp#public <init>() {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Pits	kalah	Class	InvokeSpecial	Method	kalah.PlayerProp#public <init>() {}	3,5	kalah.Pits#public <init>(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Player	kalah	Class	InvokeSpecial	Method	kalah.PlayerProp#public <init>() {}	7,9	kalah.Player#public <init>(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Store	kalah	Class	InvokeSpecial	Method	kalah.PlayerProp#public <init>() {}	11,13	kalah.Store#public <init>(int) {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.Player	kalah	Class	InvokeInstance	Method	kalah.PlayerProp#public <init>() {}	16	kalah.Player#public int getID() {}	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public <init>() {}	17	kalah.PlayerProp#private int currentPlayer	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public <init>() {}	2	kalah.PlayerProp#public boolean noSeeds	Private	None
kalah.PlayerProp	kalah	Class	public	kalah.PlayerProp	kalah	Class	Put	Method	kalah.PlayerProp#public <init>() {}	4	kalah.PlayerProp#private final kalah.Pits pitsOne	Private	None
